㔂	lân
㔂甘蔗	lân kam-tsià
㤉	gê
㤉潲	gê-siâu
㧌	mau
㧎	khê
㧒	hiat
㧣	tu
㧻	tok
㨂	tàng
㨂甲	tàng-kah
㨑	tsang
㨨	liû
㨻	tsānn
㨻魚	tsānn hî
㨻魚	tsānn hû
㴘	bāu
㴘麵	bāu mī
㴙㴙滴	tsha̍p-tsha̍p-tih
㴙㴙落	tsha̍p-tsha̍p-lo̍h
㽎	sìm
㾀	khiap
㾀勢	khiap-sì
㾀勢命	khiap-sì-miā
䀐	siam
䆀	bái
䆀味	bái bī
䆀手	bái-tshiú
䆀才	bái-tsâi
䆀指	bái-tsáinn
䆀氣	bái-khuì
䆀猴	bái-kâu
䆀空	pháinn-khang
䆀豆仔	bái-tāu-á
䖙	the
䖙椅	the-í
䖳	thē
䘥仔	kah-á
䘼	ńg
䠡	tshê
䢢拄䢢	tshiāng-tú-tshiāng
䫌	phué
一	tsi̍t
一下	tsi̍t-ē
一世人	tsi̍t-sì-lâng
一來	it--lâi
一刀兩斷	it-to-lióng-tuān
一半	tsi̍t-puànn
一半个仔	tsi̍t-puànn-ê-á
一半日仔	tsi̍t-puànn-ji̍t-á
一半日仔	tsi̍t-puànn-li̍t-á
一口灶	tsi̍t kháu tsàu
一四界	tsi̍t-sì-kè
一四界	tsi̍t-sì-kuè
一垺屎	tsi̍t-pû-sái
一大拖	tsi̍t-tuā-thua
一定	it-tīng
一家伙仔	tsi̍t-ke-hué-á
一家伙仔	tsi̍t-ke-hé-á
一寡仔	tsi̍t-kuá-á
一對時	tsi̍t tuì-sî
一屑仔	tsi̍t-sut-á
一律	it-lu̍t
一必一中	it-pit-it-tiòng
一日到暗	tsi̍t-ji̍t-kàu-àm
一日到暗	tsi̍t-li̍t-kàu-àm
一旦	it-tàn
一時仔	tsi̍t-sî-á
一月日	tsi̍t gue̍h-ji̍t
一月日	tsi̍t ge̍h-li̍t
一概	it-khài
一生	it-sing
一甲子	tsi̍t kah-tsí
一疕仔	tsi̍t-phí-á
一百空一	tsi̍t-pah khòng-it
一目𥍉仔	tsi̍t-ba̍k-nih-á
一直	it-ti̍t
一睏仔	tsi̍t-khùn-á
一礐屎	tsi̍t-ha̍k-sái
一粒一	it-lia̍p-it
一致	it-tì
一般	it-puann
一觸久仔	tsi̍t-tak-kú-á
一路	tsi̍t-lōo
一霎仔久	tsi̍t-tiap-á-kú
一面	tsi̍t-bīn
一點仔	tsi̍t-tiám-á
丁	ting
七	tshit
做七	tsò-tshit
做旬	tsò-sûn
七夕	Tshit-si̍k
做十六歲	tsò tsa̍p-la̍k huè
七娘媽	Tshit-niû-má
七娘媽生	Tshit-niû-má-senn
七娘媽生	Tshit-niû-má-sinn
七孔	tshit-khóng
七字仔	tshit-jī-á
